ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210009291,Dry,1.0
T20210009292,Wet,2.0
T20210009294,Dry,1.0
T20210009295,Dry,1.0
T20210009299,Dry,1.0
T20210009300,Dry,1.0
T20210009304,Dry,1.0
T20210009305,Dry,1.0
T20210009307,Dry,1.0
T20210009308,Dry,1.0
T20210009309,Dry,1.0
T20210009311,Dry,1.0
T20210009312,Dry,1.0
T20210009313,Dry,1.0
T20210009319,Dry,1.0
T20210009320,Dry,1.0
T20210009324,Dry,1.0
T20210009325,Wet,2.0
T20210009326,Wet,2.0
T20210009328,Wet,2.0
T20210009331,Dry,1.0
T20210009332,Wet,2.0
T20210009333,Dry,1.0
T20210009337,Wet,2.0
T20210009338,Dry,1.0
T20210009339,Dry,1.0
T20210009341,Wet,2.0
T20210009342,Dry,1.0
T20210009343,Dry,1.0
T20210009345,Dry,1.0
T20210009346,Dry,1.0
T20210009348,Dry,1.0
T20210009349,Wet,2.0
T20210009350,Wet,2.0
T20210009351,Dry,1.0
T20210009352,Dry,1.0
T20210009353,Dry,1.0
T20210009355,Wet,2.0
T20210009356,Dry,1.0
T20210009357,Wet,2.0
T20210009362,Dry,1.0
T20210009363,Dry,1.0
T20210009366,Dry,1.0
T20210009369,Dry,1.0
T20210009377,Dry,1.0
T20210009380,Dry,1.0
T20210009381,Dry,1.0
T20210009384,Dry,1.0
T20210009385,Dry,1.0
T20210009387,Dry,1.0
T20210009388,Dry,1.0
T20210009389,Dry,1.0
T20210009390,Dry,1.0
T20210009391,Wet,2.0
T20210009394,Dry,1.0
T20210009395,Dry,1.0
T20210009396,Dry,1.0
